m2,amd
1.56152291258,2.03276515122
1.5578894555800002,1.9551971112200002
1.5636093715800001,1.91425612222
1.57596912158,2.00017622422
1.6225652885800002,1.96350797522
1.6390491215800003,2.02608506022
1.6080728715800001,2.00844609822
1.60716812158,1.98025930722
1.61648924658,1.97591136922
1.60830437158,1.9991119982200003
1.6171771215800002,2.02022103722
1.61245562158,2.02819697222
1.62806287158,1.9781798482200001
1.61245020558,1.9611199112200002
1.6194123305800001,1.9690803972200002
1.63390928758,1.9822565422200003
1.6260629125800001,1.99023447822
1.6293392875800001,2.04040326922
1.6741890385800002,1.97574645722
1.68810070458,2.0338165612199997
1.65486837158,1.9540293182200001
1.66615778858,2.05175694322
1.64626807958,1.96275516422
1.67270682958,1.99058365622
1.67055662158,2.0044510072199997
1.63753007958,2.02572096722
1.6444371635800001,1.99598212322
1.65516070458,1.95646381522
1.66201812158,1.9528190732200001
1.64472007958,2.0065958462199998
1.64929378758,2.00008143822
1.6661182055800001,1.98277366922
1.6460329965800002,2.00377719722
1.6526370795800003,1.9662331782200002
1.6627912875800002,1.9776538162200001
1.65853541258,1.9790902212200001
1.64652824658,1.97677987222
1.66295791258,2.0318381082199997
1.6667010805800002,1.99552947022
1.6760417045800002,2.02978781322
1.6759462465800001,1.9686821532200003
1.6995469555800002,1.9895319202200001
1.6902623715800003,2.0055413822199997
1.72941295458,2.0073929812199998
1.7140409125800002,2.0152762962199997
1.7046045385800002,2.03616398422
1.7011458295800002,1.9906030592200001
1.71376983058,2.02278984222
1.70729157958,2.0113035672199997
1.7005731215800002,2.0173889952199997
1.7097067885800001,2.00222176522
1.7020543305800002,1.97624735422
1.6876519545800002,1.97067222322
1.7080603715800002,1.9861558802200001
1.7000153295800002,1.98032667722
1.69619078858,2.08526887222
1.71682953858,1.98953666722
1.69850853758,2.0401097032199997
1.7051373715800002,2.1984424682199997
1.72503824658,2.04947926322
1.7299997885800003,2.11530506222
1.7393519135800002,1.99180963722
1.7515903295800002,2.1067192762199998
1.7459035375800003,1.9817472862200003
1.75901545458,2.04648993522
1.77905945458,2.02702734422
1.8832347885800003,1.93658172722
1.89813958058,1.9659153742200002
1.8894439965800003,1.9993152992200003
1.86056445458,2.0438432982199997
1.82751307958,1.9827188872200001
1.8473924135800002,2.00945373922
1.84268362158,2.02441225122
1.83620916258,2.04799640422
1.8789771215800002,2.0522336062199997
1.90142437158,2.03443819022
1.9099700375800002,1.9779804622200001
1.98986028858,2.01295545222
1.93619016258,1.96539367722
1.9237350385800003,1.9830681652200002
1.9696548305800001,2.03437348822
1.9553848295800003,1.9921577322200001
1.9506179135800001,2.01253671622
1.9670912465800001,1.97942309722
1.9766837875800003,1.99735102722
1.9981852885800002,2.03189521322
2.00262153858,2.04799640422
2.00912366258,2.0510819362199997
2.02442849658,1.9930440832200003
2.01027187158,2.03243720522
2.02065362158,1.9876631552200001
2.04463295458,2.00345804522
2.04270949658,2.0274543932199998
2.05227920458,2.0008456842199998
2.04598820458,2.0059011932199997
2.05895678858,1.99754813622
2.07325087158,1.9883266002200002
2.0565237885800003,2.00213761222
2.06771778858,2.03597988222
2.06105108058,2.0738367692199997
